uuid,prompt,topic
fa31171a-7ba5-52dc-a7a2-7fa4d94959e8,a security camera footage showing a car accident  ,accident
f4e10043-2937-55c1-8f49-163203ea35e0,horror scene car accident in divider at night  ,accident
3a819fe0-6832-554d-b5d3-d44f6ad6b1c1,"camera pans to a woman, disoriented, standing outside the smoking wreckage of her car at night at the side of tje road. 4K -ar 16:9 -motion 2 -gs 15  ",accident
743f0ca3-7d44-584d-9508-543048194874,"Car accident on the street in England, fire everywhere, all cars destroyed  ",accident
eb8e08b2-3f1a-5c0c-9c36-b91b4a4b523d,"Antique car, cliff, fog, terror, fall, black and white.  ",accident
29855d3c-b079-5b7f-adf6-17c8117a62cd,motorcyle rider eating a handful of dirt  ,accident
0a0985d3-1949-5831-84e3-237bdee1aace,Show the tragic accident that took a boy&#39; life  ,accident
696267d1-7f91-5b0d-86d1-ee0db8cc1d7a,A boy walking  on road and accident by a car  ,accident
27c2708e-9cc0-5c2c-a903-e30a933e2ee3,"for Youngman hitting an other Youngman on a road  with a gun, traffic, 8k, high resolution, high quality, natural lighting, ultra-detailed, Sunlight, Steady light, fixed light source,    -camera zoom in  -fps 24 -motion 2 -gs 18 -ar 16:9 -neg unnatural, ugly, deformed, deformity, deformities, morphing, erratic fluctuation in motion, noisy, bad quality, distorted, poorly drawn, blurry, grainy, low resolution, oversaturated, lack of detail, inconsistent lighting, disorder, malfunctioned things, low quality, funkiness, malfunctioned body parts, extra hands, extra faces, extra legs, unrealistic shape, unusual, weird face, deformed body parts, bad anatomy, bad hands, three hands, three legs, bad arms, missing legs, missing arms, poorly drawn face, bad face, fused face, cloned face, worst face, three crus, extra crus, fused crus, worst feet, three feet, fused feet, fused thigh, three thigh, fused thigh, extra thigh, worst thigh, missing fingers, extra fingers, ugly fingers, long fingers, horn, extra eyes, huge eyes, 2girl, amputation, disconnected limbs, cartoon, cg, 3d, unreal, animate, Facial contortions, deformed faces, ugly faces  ",accident
53cb5627-58bb-5fe5-af9b-70d7978085be,"Subaru Forester 2003 gets into an accident at speed, with an oncoming car at night,  ",accident
1c63ab6b-fd30-59b5-8f8f-0349fb8f5331,realistic adam sandler face in neon colors  ,adam driver
86011509-be5a-5a8c-9fe5-3e1a86b90859,Adam Driver and Shawn Mendes flying plane  ,adam driver
bf39a1ea-e2c1-591c-be7e-58844f60a098,adam driver lying down on beach  ,adam driver
790e5bc9-2c40-5135-97f3-d87acf86d0e7,andrew tate driving bugatti chiron pur sport  ,adam driver
d1a1515c-1ae8-5fa5-abdf-7ba92079ff1f,zoom in shot of adam driver yawning slowly  ,adam driver
e1cdaa6b-7738-5fb8-af6e-21130be77cd2,Adam Driver Sad  ,adam driver
f1de598c-6e00-566f-b0bf-ac236c1e0b22,adam driver wrestling a shark splashing  ,adam driver
c2c19974-7c3d-55b0-88b8-68fdb05825de,adam driver sleeping in bed  ,adam driver
f2ed6abb-61ea-5263-89ce-44106d3443e4,adam driver crashing into bus  ,adam driver
89b346a2-6827-52a0-b49c-1e694b9f59ec,adam driver eating a sandwiche  ,adam driver
7bede200-626c-5048-b12b-726f2bf7f956,"Creative clothing advertisement, a creative piece of clothing with segmented and spliced design, wearing a beautiful Chinese female model walking in the rural scenery of spring  --ar 9:16  ",advertisement
6bd363b9-65f6-5ebe-ba7c-ece1d971135e,jared fogle is smiling while standing alone in an empty room giving the thumbs up sign  ,advertisement
68689631-e95d-5903-9fbe-c831e387ca3d,Purple liquid being poured in clear soda turns purple trippy vintage 1970 TV ad  ,advertisement
08f9c370-5be4-55a6-bc5b-9fa91884548c,Purple liquid being poured in clear soda trippy vintage 1970 TV ad  ,advertisement
91eb37c7-83f4-5f2b-a43c-0dbd674dac4f,and ad for lulu lemonade pants  ,advertisement
8946b1d2-c66c-57d2-91bf-da4323e4b8c3,posh advertising office in the 1960’s  ,advertisement
6997d203-807f-5297-a182-cb5057ed8f0f,a beautiful model advertisement using a rotary dial phone  ,advertisement
b2613201-37af-514a-bfdb-732de6db4f7d,a dog with formal clothes and a text &quot;MyPetPlanet&quot;  ,advertisement
0fe30bd0-f89d-5d25-b695-f801a204991a,"Herm&#232;s perfume is in the middle of the desert shot, from dark to light, from close-up to long shot, a beam of light unfolds, quickly rotates in and then moves in slow motion from left to right, the picture has a cinematic feel, high-end, realistic portrayal, 4k, a7r3, f3 .5  ",advertisement
75260b47-1039-5326-afda-904ec6f1e49f,"Gucci, --ar 9:16  ",advertisement
6b3b1d76-ba64-51da-b4d8-c9903e38d72d,"The village is nestled amidst rolling hills covered in lush, green vegetation. Tall, swaying palm trees and vibrant flowers lend a colorful backdrop to the huts and homes that dot the landscape. The air is filled with the rich, earthy scents of the African wilderness, and the sounds of exotic birds and wildlife create a harmonious symphony that is the soundtrack of village life.  ",africa
c1f4788f-7277-57d5-9526-8572f2f8a673,"create an african forest with different kinds of animals , include some women and children as in an African village, let them all be looking at a young girl with brown hair sitting with a lion  ",africa
f3e704f8-c2db-5370-9fe8-8e78908c33cb,"African village landscape, anime, Ghibli studios, Camera hovers, tracking shot  ",africa
d00e9ab6-0920-5c38-a2db-f2754a23f569,"Happy African farmer in the farming field, sunset view, cinematic shot --arr 16:9  ",africa
4033e7db-bcab-5791-9709-b567b419c8ee,"video savana africana com varios ,animais em volta.  ",africa
d2e1901f-d975-5ba0-b047-66ca3a33e7df,"&quot;Under the hot African sun, the savannah spreads out in a mosaic of colors and textures. Tall, emerald grass sways gently in the breeze, creating waves of movement across the vast expanse of land. Here and there, clumps of trees and Shrubs break the uniformity, offering shade and shelter to the life that thrives in this unique environment.  ",africa
7157a912-e52a-507e-8f87-a0b8296c7bed,Beautiful forests of Africa!  ,africa
4cccb41e-36a4-5264-94ef-35f0542d03ef,"Africa is the second-largest continent in both land area and population, after Asia.  ",africa
